"","title","point","review"
"99","미나리","8","진짜 가족같은, 모든 배우들의 연기가 넘 좋았어요. 특히 한예리 배우님의 연기가 이번에 눈에 띄게 좋았습니다. 윤여정 배우님의 새로운 할머니 역할도 참 인상 깊었고, 극의 중심을 잘 잡아주셔서 참 좋았습니다. 잔잔한 연출과 OST도 무척 좋았구요. 가족의 의미를 다시 새기는 좋은 영화였습니다."
"100","미나리","10","가장의 무게를 그 시대를 빌어 잘 표현한 영화입니다!!"
"101","극장판 귀멸의 칼날: 무한열차편","10","너무나도 감동스럽고 재밋엇습니다 추천합니다!!"
"102","카오스 워킹","8","소재가 특이했고 영상미도 압도적이었음. 재미있게 보고옴."
"103","미나리","6","미국 이민자들의 고난과 시련을 알수 있었음"
"104","벤자민 버튼의 시간은 거꾸로 간다","10","띵작이다 띵작.. 왜 이걸 이제야 봤지"
"105","극장판 귀멸의 칼날: 무한열차편","10","영상미가 좋아요 역시 귀칼"
"106","미나리","10","잔잔하게 감동적 입니다."
"107","먼 훗날 우리","10","주동우가 차안에서 애처럼 우는게 정말 와닿고 나조차 눈물이 났다."
"108","에브리타임 룩 앳 유","10","재미있게 잘봤어요^^"
"109","극장판 귀멸의 칼날: 무한열차편","10","재밌어요~ 애니 내용 몰라도 대충 이해됩니다"
"110","피막","9","아무 생각없이 보다 얻어 걸린 대박영화네요...웃음과감동 그리고 적절한 공포....개봉한지 8년이 지난 지금 감상했습니다한국 뮤직 비디오에도 출연한 이력이 있는여주인 다비카후네~  지금도 유명하고 이쁘지만8년전 미모가 더 이쁜거 같네요!!"
"111","열혈형사","10","인권씨를 좋아하는 팬으로써 안타깝네요.개성과 연기력에 걸맞는 좋은영화 만나시길..."
"112","빛의 아버지: 파이널 판타지 XIV","10","미쳤다진짜 어떻게 이런 영화를 만들 수 있지RPG 끊었는데 또 하고 싶어짐 ㅠ"
"113","디지몬 어드벤처 라스트 에볼루션 : 인연","10","와...내추억... 진짜 눈물나네여 ㅠㅠ"
"114","꾼","10","재밌음!!! 배우들 케미가 쩖ㅋ"
"115","극장판 귀멸의 칼날: 무한열차편","10","화염의 호흡 오의! 연옥!"
"116","애니멀 타운","8","사모님 줘팰때 ㄹㅇ 통쾌해서 별4개줌"
"117","그레이의 50가지 그림자","10","남주존잘 .. 여주존예 ... 아름답다"
