"","vtitle","vpoint","vreview"
"80","미나리","10","유년기를 디지몬과 함께하신 분이라면 꼭 보세요!"
"81","미나리","10",""
"82","미나리","10","전체적으로 이야기를 끌어가는게 좋았다"
"83","미나리","6","가족의 소중함을 일깨워주는 영화이다. 어디서든 잘 자라는 미나리를 보면서, 어디서든 잘 생활하고 있을 이민자들에게 응원의 박수를 보낸다."
"84","극장판 귀멸의 칼날: 무한열차편","10","중딩때 친구 따라서 극장에서 봤다가 너무 감명깊게 본 기억이 있어서 왓챠에 뜬거 다시 봤는데 그 시절때 봤던거보다 2배는 더 잼있다아니 최근에 나온 모든 영화 통틀어 다섯손가락 안에 들어감"
"85","PMC: 더 벙커","1","총을 수백발 맞아도 움찔도 안하는 몬스터들이 칼로는 숭숭 썰린다.  땅속으로 이동하는게 차량보다 더 빠르던 몬스터는 땅 위로 올라오니 사람 달리는 속도가 된다."
"86","미나리","5","평점이 나쁘지않아 넷플로봤는데..뭔가 계속 아쉽네요.터질듯터질듯하면서 아쉬운느낌이랄까..따로 시간을 내서 볼필요까진없는듯"
"87","극장판 귀멸의 칼날: 무한열차편","10","오랜만에 아무생각 없이 넘 재밋게 봣어요 ㅠㅠㅠ 웃음포인트도 많고 계속 생각나요 ㅋㅋㅋㅋ"
"88","세자매","10","아니 ㅅㅂ 한국사 공부를 안했나 ㅁㅊㅅㅋ들이 이걸 폭동이라 하네 정신병자들이 일베충 내눈에 띄지마라 OO다 진짜"
"89","그랜드파더","7","시간 남아서 본 영화... 그냥 괜찮은정도?"
"90","미나리","4","내가 수준이 낮은건지.. 너무 난해하다..배우들 대사 전달도 잘 안됐을뿐더러 보는내내 지루했다.."
"91","미나리","9","어릴 때는 몰랐는데 성인이 되고 나이가 들어서 보니 또 다르다 금자는 13년동안 얼마나 복수를 갈망했을까... 복수신은 잔인하다 생각들면서도 통쾌했다 영화속 요즘 활발하게 활동하는 반가운 배우들의 얼굴도 많고 좋았다"
"92","미나리","10","27살,, 귀멸의칼날 보고 울기 딱 좋은 나이입니다...혼자 영화관가서 감동 먹고 오열했습니다...마지막 엔딩곡도 너무 좋습니당..."
"93","미나리","10","그냥 보세요.. 엄청난 영화임"
"94","극장판 귀멸의 칼날: 무한열차편","5","캐릭터에만집중한 사건들"
"95","PMC: 더 벙커","10","어디서나 잘 자라는 미나리처럼, 미국 그 어딘가에 정착했을 그들을 상상하게 만드는 영화."
"96","미나리","10","재밌게 잘봤네요ㅎㅎㅎ 마음이 따뜻해져요"
"97","극장판 귀멸의 칼날: 무한열차편","9","생각없이 봤는데 스케일이 큰 영화네? 하면서 빠져들었다 다 아는 엑스칼리버 얘기인데 영화로 만드니 시간가는 줄 모르고 재밌게 봤다"
"98","세자매","8","갈등이있기에 해쳐나갈수있다"
"99","그랜드파더","8","이민자들에게  큰 감동을 주었음이 분명하겠어요"
"100","미나리","6","하 그닥 결말 뭔가요?차라리 미나리 농사를 지어서 돈을 크게 번다 뭐 이런 것도 아니고"
"101","미나리","7","기대보다는 스토리가 큰 감흥은 없습니다연기는 잔잔하게 볼 만 합니다"
"102","미나리","8","연출을 좀 무겁게 했지만, 그로 인해 더 생생했다 전여빈 배우님 원석발견영화."
"103","미나리","10","진짜 여러분들 휴지 챙겨가세요 4d로 봐도 재밌는데 4d로 보면 울거 같은 장면에서 의자가 움직여서 안울수도 있습니다. 진짜 개인 소장해서 여러번 보고 싶은 영화입니다."
"104","극장판 귀멸의 칼날: 무한열차편","10","영화 잘 봤습니다 창작의 자유이니 너무 서로 헐뜯지 맙시다 근데 일부 남자들보고 반성하라는 말이 자주 보이는데 뭘 반성해야 되죠?? 여성이라고 무시하면서 산적 없는데 80년대 이후로 태어난 남자들은 거의다 저랑 비슷한 생각일거임 사회구조적인 문제와 기성세대가 잘못한걸 왜 우리한테 풀고있는지"
"105","PMC: 더 벙커","8","잔잔한 영화생각보다 큰 감동은 아니었다.기대가 컸나?"
"106","미나리","2","그럭저럭. 서프라이즈 수준의 공포."
"107","극장판 귀멸의 칼날: 무한열차편","5","롤토체스 하면서 사운드 채우기에는 적합했어요."
"108","세자매","6","영화는 밋밋했어요음악은 좀 촌스러워서 거슬렸구요배우들의 어색한 한국어가 몰입을 방해했어요어?이게 끝이야의 엔딩이었습니다"
"109","그랜드파더","4","딱 상주는 사람들 취향인 영화.. 공감이 잘 안됨"
"110","미나리","10","와 나 평점 처음 써보는데 개재밌다 넷플에 나와서 아무생각 없이 틀었는데 존잼 반전에반전 그와중에 현빈 존잘 다들 꼭 보셈"
"111","미나리","10","눈물바다....넘모 잼잇쟌아"
"112","미나리","6","마무리가 비교적 약했음"
"113","미나리","10","롯데시네마랑 CGV 둘 다 봤는데 의자는 롯데시네마가 더 움직이고 특수효과는 CGV가 더 좋네요 근데 매장마다 다를 수 있으니 참고만 하세용"
"114","극장판 귀멸의 칼날: 무한열차편","1","밀정은 완벽한데 인랑은 왜 이모양?"
"115","PMC: 더 벙커","10","쩔었다.. 애니를 극장가서 본것도 성인되고 처음이지만 이건 정말 볼만합니다"
"116","미나리","10","난 너무 재밌었음 그럼 됐어"
"117","극장판 귀멸의 칼날: 무한열차편","9","3부작이 서로 적절하고 자연스럽게 이어지면서 마지막 끝맺음까지 완벽한 고전명작"
"118","세자매","8","편지라는 매체가 가진 특징을 잘 살리면서, 서정적인 분위기, 극강의 작화, 멋진 OST까지. 자극적이지 않으면서 마음을 포근하게 적셔주는 고마운 시리즈."
"119","그랜드파더","8","액션씬이 훌륭하고 씁쓸하면서도 애달픈 무협영화"
"120","미나리","8","톰과제리는 옛날부터 많이 봐와서 지루하지 않았는데, 분량이 살짝 아쉽고, 클레이 모레츠와 협동 조합은 잘 안 맞은 거 같네요.."
"121","미나리","5","재미도 감동도 너어무 없음"
"122","미나리","10","마스크 젖도록 울고 나옴.... 증말 보고와서 몇일째 못헤어나오는 중.. 싸움씬에 깔리는 오토튠 지리는 음악은 개 소름돋음!!!쿄쥬로ㅠㅠㅠㅠ♥ ♥ ♥ ♥"
"123","미나리","10","배우분들의 폭발적이면서도 절제된 연기가 너무 인상적이었네요. 윌 패튼의 힐빌리 신앙인 연기도 아주 원더풀 ♪"
"124","극장판 귀멸의 칼날: 무한열차편","7","유치한맛이 있긴하지만 볼만한 로맨스 영화"
"125","PMC: 더 벙커","6","윤여정씨가 어디 아파하는 연기 그 때만 잠깐 훌쩍임. 그 외엔 그닥... 너무 스무스해서 영"
"126","미나리","8","홍콩느와르의 여파가 짙게 풍기지만, 그래도 좋았던 영화!!"
"127","극장판 귀멸의 칼날: 무한열차편","9","가슴을 따뜻하게 해주는 정말 좋은 영화입니다 ㅎㅎ"
"128","세자매","10","흐르는 강물 영화가 생각나는 잔잔함과 가족애로 감동을 주는 영화였습니다.  ‘할머니가 자리를 잘 잡으셨네’ 엔딩의 대사는 여운이 남습니다.  미나리가 연약해 보이지만 바람결에 흔들리면서 보이는 장면은 한국 정서가 함축되어 보여주는 장면이라고 생각했습니다."
"129","그랜드파더","10","많은 사람들이 보았으면 좋겠다 가족의 의미..."
"130","미나리","10","이 영화가 왜 호불호 갈리는지 모르겠습니다 저는 극호였습니다 !"
"131","미나리","10","이 영화가 왜 호불호 갈리는지 모르겠습니다 저는 극호였습니다 !"
"132","미나리","10","쵝오...!!더 이상 말이 필요없음...."
"133","미나리","9","잔잔하고 따뜻한 영화예요 개인적으로는 스티브 연의 연기가 전형적인 한국인의 모습이 아니어서 좀 아쉬웠지만 전체적으로 앙상블이 좋습니다 오버하지 않고 진정성 있게 끌고 나가는 스토리도 좋고요"
