"","vtitle","vpoint","vreview"
"1141","미나리","10","영화에 나오는 모든 배우들의 명품 연기와 너무 따뜻하면서도 슬픈 정말 감동적인 영화였습니다."
"1142","미나리","10","역시는 역시다"
"1143","미나리","10","재밌었어요 킬링타임으로 딱인듯"
"1144","극장판 귀멸의 칼날: 무한열차편","8","부모님들이 즐겨 보시던 드라마 옆에서 같이 시청하던 그시절 생각이나네"
"1145","PMC: 더 벙커","10","몰임갑있게 잘봤습니다~~추천드려요!!^^"
"1146","미나리","7","어릴때 이런 가족족인 분위기 드라마가 좋았다"
"1147","극장판 귀멸의 칼날: 무한열차편","8","자꾸 엄마가 생각나요.. 결혼.. 부부에대한 그리고 아이들보고난후 생각이 점점커지는 영화네요.."
"1148","세자매","10","투파더스 같은 소리하고 있네 애초에 비교불가 정서인데 뭔 비교를 하고있어 무식한것들 정서란 것은 고유한것이야 남자와 여자가 성별이 다르듯 다른거라고 투마더스라 이런영화가 가능하고 정서와 사랑을 느낄수 있는것이다 OO할 무식한것들아"
"1149","그랜드파더","10","미소지으며  시간가는줄  모르며  볼수있어좋아요~"
"1150","미나리","6","배우좀 바꾸세요. 질릴려고 합니다."
"1151","미나리","10",""
"1152","미나리","8","알수없는 눈물이. 영화를 계속 곱씹어보게된다. 알것도 같고 모를 것도 같은 감정들이다."
"1153","미나리","10","톡톡부터 시작해 모든 캐릭터가 매력있고 기억에 남아요 디즈니가 또 일냈어요 ㅋㅋㅋㅋ감동도 많아요 가족끼리 보기좋아요 오프닝부터 영화 두편 보고온 것 같아요"
"1154","극장판 귀멸의 칼날: 무한열차편","5","인시디어스 그냥 그대로 배낀듯킬타임 역할은 함"
"1155","PMC: 더 벙커","10","영화보고 평가 처음 해 봄 무조건 봐야하는 영화"
"1156","미나리","10","최고감동ㅜㅜ 인생애니!! 개인적으로 겨울왕국을 뛰어넘은 것 같아요!"
"1157","극장판 귀멸의 칼날: 무한열차편","8",""
"1158","세자매","10","사람마다 각자에 사연으로 살아간다...그 사연을 모르고 보는 시선은 그저 그 사람이 부럽고 좋아보인다..하지만 사연을 알고부터는 생각이 달라진다...그냥 이영화 보니 그런 생각이 드네.."
"1159","그랜드파더","2","영화에 내용이 없다 시종일관 현빈과 손예진이 빡쳐있는데 메시지 전달이 안된다. 관객과 협상하자"
"1160","미나리","10","티빙에서 구매해서 봤어요. 그때 감동이 그대로 느껴졌어요 .아픈목으오로 열심히 정성것 부르는 가인씨를보니 열심히 살면서 응원해야겠다 다짐합니다^^화이팅!"
"1161","미나리","10","담백하게 감동적입니다. 자극적인 내용이 전혀 없어서 더 좋았습니다..결국 가족이네요^^"
"1162","미나리","10","폴 워커님의 맨마지막이 넘 슬픔"
"1163","미나리","8","표현과 설정은 잔인하다. 그러나 끝까지 보니 너무 슬픈 영화였다. 결말에 나오는 노래와 춤을 다 보아라. 역설때문에 슬프다."
"1164","극장판 귀멸의 칼날: 무한열차편","10","다시봐도 재밌고 감동적"
"1165","PMC: 더 벙커","2","여캐는 그나마 괜찮은데 남캐 얼굴이 다 고릴라같음"
"1166","미나리","10","말이 필요없다 극장에서 바야된다..가슴이 뭉클해진다"
"1167","극장판 귀멸의 칼날: 무한열차편","9","영화잘봐습니다이호정동생좋아합니다"
"1168","세자매","10","모든순간이 미쳤습니다 두번보고 또보고싶네요.. 여기서 평점 조금 주신분들 시즌1부터 다시보고 오시길 명대사 명장면이 계속되고 눈을뗄수가없습니다 꿈속에서깨고싶지않을 정도로 인생영화 등극!"
"1169","그랜드파더","3","하도 잼따해서 봤는데 노잼.톰하디 연기에 감탄만할뿐.. 노잼"
"1170","미나리","6",""
"1171","미나리","10","감동적이고 살면서 내가 정말 좋아하고 푹 빠지도록 한일이나 한 행동이 있는지 돌아보게 하는 영화였다."
"1172","미나리","7","Halmoni Maketh Harmony"
"1173","미나리","1","썸녀랑 보러갔었는데도 옆에 두고 잤음 그만큼 지루함;;"
"1174","극장판 귀멸의 칼날: 무한열차편","10","넷플릭스로 입문하고 영화관까지 왔는데 재밌다.주인공 바꾸고 싶을 정도로;;"
"1175","PMC: 더 벙커","10",""
"1176","미나리","1","아니.. 이게 ..머야.. .. 야한씬이라도 자극적이게나오면몰라. 멀보라고 만든 영화지."
"1177","극장판 귀멸의 칼날: 무한열차편","10","디즈니면 무조건이지 !!ㅎ"
"1178","세자매","10","최고...연출 연기 완벽햇어요 사랑해요 정이삭 감독님"
"1179","그랜드파더","10","라야의 액션과 디즈니의 상상력 가득한 어드벤처~~ 이건 무조건 극장에서 보셔야 해용"
"1180","미나리","10","큰 기대 안하고 봤는데 배우들 연기도 좋고 스토리도 좋음. 영화 보고 궁금해서 박열 찾아봄."
"1181","미나리","10","아주 디즈니스러운 디즈니다웠던 영화! 기대이상으로 재밌게 봤다!"
"1182","미나리","10",""
"1183","미나리","9",""
"1184","극장판 귀멸의 칼날: 무한열차편","10","너무 잔인해서 싫지만 진짜 몇번을 반복해도 질리지가 않네 ㅠㅠ 잔혹한 현실도 그렇고 무엇보다 원빈을 대체할 배우는 없을듯 ㅜㅜ전당포 아저씨 최고  원빈은 얼굴로 액션하는듯 ㅠㅠ  이거방탄유리야 랑 금이빨 대사가 특히 박수 ㅋㅋ 진짜 김희원 악역도 원빈 못지않다 가만있어도 밉상 ㅠㅠ"
"1185","PMC: 더 벙커","10","올해 최고의 영화예요 역시 요즘 봣던 영화들중에서 제일 재밌게봄 처음 시작 단편애니부터 울엇어요 ㅋㅋㅋㅋ"
"1186","미나리","10","좋네요 요즘같이 치열하게 사는 세상에서 쉴 때 제대로 쉬지못하고 뭔가해야할거같고..21번이 스스로 자책하는 모습을보면서 눈물이 펑 터졌네요 저를 보는거같아서요 많이 위로 받았어요 감사합니다 더 으쌰으쌰 살아볼게요"
"1187","극장판 귀멸의 칼날: 무한열차편","10","영화가 끝난 뒤에도 오래남는 여운."
"1188","세자매","10","역시 기준은 없다누가 진정한 악마인가"
"1189","그랜드파더","7","이병헌 박정민 연기 잘했다 그거 말고는 흔해빠진 영화"
"1190","미나리","8","긴장감도 있고 재밌음."
"1191","미나리","7","평소 접하기 힘든 동구권 배경의 역사 소재 영화라 좋았고 어느시대나 나라나 전쟁 휴유증의 비극은 인간사의 크나큰 슬픔이다. 우리세대나 앞으로의 세대가 전쟁을 겪지않기를 간절히 바랄뿐이다."
"1192","미나리","8","조조로 영화를 보고 버스에서 영화에서 나오던 음악을 들으며 집에 갑니다. 경험도 해보지 않은 그 때 그 순간들에 빠져 아련해지는 오묘한 기분을 가지고서."
"1193","미나리","10","큰메세지가있네요~ 우리사는 이야기같습니다.."
"1194","극장판 귀멸의 칼날: 무한열차편","9","기대 안하고 봤지만 수작이었다."
"1195","PMC: 더 벙커","10","재밌게봤어요 자존감높여주는영화"
"1196","미나리","10","처음 봤을때 생각지도 못한 일이 빵빵 터져서 기대감이나 긴장감 그런건 사라졌지만 간간히 꺼내어 몇번을 봐도 재미짐.. 배우들이 다들 연기파 배우들이어서 몰입감이 굿!.. 하다못해 전화 통화로 목소리만 나오는 분들 마저도 연기파..ㄷㄷ"
"1197","극장판 귀멸의 칼날: 무한열차편","10","내용은 기억도 안 나지만 그냥 너랑 봐서 좋았다"
"1198","세자매","8","작화랑 영상미, 음악만으로 돈 값은 함;;;;"
"1199","그랜드파더","6","기대치에비해 실망스럽네요 기대안하고보면 무난한정도고 국내에서 흥행은힘들어보이네요 국내관객수는약 3백만명정도들어오면 성공이라봄"
"1200","미나리","9","영화잘봐습니다박보영누나좋아합니다"
"1201","미나리","6","초반 지루한거 빼면 시간때우기 괜찮아요"
"1202","미나리","10","초반 흡입력이 좋았다. 미쓰백이란 인물의 서사가 주는 매력이 있었다. 그리고 미쓰백이 나약해서 좋았고, 모성애가 아닌 점도 좋았다. 아동과 미쓰백이 서로를 보듬아주는 모습이 좋았다. 아동학대 모습이 적나라하긴 했지만 실화라니 더 가슴이 아파진다."
"1203","미나리","10","툭툭 너무 귀여워ㅠㅠㅠ 역시 디즈니는 최고야"
"1204","극장판 귀멸의 칼날: 무한열차편","10","진심 연출과 OST 그리고 스토리 영상미든 걸르거 없다고 생각합니다"
"1205","PMC: 더 벙커","8",""
"1206","미나리","10","96년 트위스터가 14년 인투더스톰보다 훨씬 더 재밌다"
"1207","극장판 귀멸의 칼날: 무한열차편","10","한마디로 연애따로 결혼따로. 한국여자들의 현실을 비판하는 영화"
"1208","세자매","8","와 마지막에 뒷통수 맞은 느낌 ㅋㅋㅋ 영화를 좋아해서 많이 보지만 진짜 영화매니아들처럼 대단한 평은 못내리겠는데 연출이 소름돋는 느낌? 역시 놀란 감독 작품 어렵고 1번 보면 안되고 여러번 봐야한다는 걸 깨달음.."
"1209","그랜드파더","10","누군가를 만나고 마음을 나눈다는 것이 사실은 우리 삶 최고의 기적이라는 것을"
"1210","미나리","4","연기들은 다 괜찮으나 작가의 의도와 스토리에 대해 너무 편파적이고 극단적이네요..종교가 기독교인지 사이비인지는 모르겠으나 저러한 인간 신앙 상태를 거의 양신 역사를 품은 제대로 모르는 교리에 신앙에 대한 신념만 편파적인 가족 스토리인 듯 합니다 결말은 본인의 신앙만 채우다가 가족 누구하나 제대로 신경쓰지 못 하는 이야기를 담은 작가의 의도로 보이는데 솔직히 각자의 연기력을 보여주는 허접한 내용의 결말입니다 감동도 웃음도 재미도 없는 슴슴한 영화임이 틀림없네요"
"1211","미나리","10","너무 재밌는 영화 입니다"
"1212","미나리","10","내가 나이가 들어서인지 할머니를 보며 엄마 생각이 많이 나네요"
"1213","미나리","6","유해진 얼굴에  아들 이쁜 여친이 좋아하는것도 그렇고 선나가는데 추리닝 입고나가서 황우슬혜 가 좋아하는것도 그렇고 정말  이입안된다.... ㅋㅋㅋ 정우성이나 원빈이면 이해하는데 이건 유해진이 제작한 영화라는 생각밖에는....ㅋㅋㅋ"
"1214","극장판 귀멸의 칼날: 무한열차편","10",""
"1215","PMC: 더 벙커","8",""
"1216","미나리","10","질긴 생명력과 적응력으로 어디서든 잘 자라는 미나리처럼,우리도 그렇게.  원더풀 원더풀 미나리."
"1217","극장판 귀멸의 칼날: 무한열차편","2","배우들 연기력만 좋았지 도대체 뭘 애기할려고하는지???? 돈 아깝다."
"1218","세자매","10","나의 첫사랑이 생각나는영화"
"1219","그랜드파더","6","좋은 시나리오를 연출이 살리지 못한 대표적인 경우."
"1220","미나리","6","데스티네이션 따라한건가? ㅋ  장르가 공포인데 무서운 장면은 없구..위험에 처한 상황을 두개를 놓고 어느쪽이 죽느냐~이런 장면도 데스티네이션 에서 나온거같은데~~ 재미가 없는건 아닌데 공포영화는 아니다!!"
"1221","미나리","10",""
"1222","미나리","6","클레멘타인 보고 완치된 암이 이 영화를 보고 다시 생겼습니다."
"1223","미나리","10","ㅠㅠㅠㅠ덤블도어,,해리한테 소중한 사람은 하나 둘 떠나가는게 마음 아픔"
"1224","극장판 귀멸의 칼날: 무한열차편","8","하술 마시고 봤더니 보면서도 걍 시끄럽기만 하고 기대 이하 라는 생각밖에 안들고...기억도 하나도 안나버리네....아.. 기대 나름 했던 건데.. 좀 많이 후회되네"
"1225","PMC: 더 벙커","10","역시 ...  기대이상이였다"
"1226","미나리","10","아동학대가 이슈인 요즘,이영화 눈물나네요ㅠ주변.아이들에게 관심이 필요합니다."
"1227","극장판 귀멸의 칼날: 무한열차편","10","그냥 강추 액션,이펙트에 놀래고 슬퍼서 눈물 나오네..."
"1228","세자매","10","역시 디즈니! 지루한 부분 거의 없고 감동적인 영화였습니다. 다른 영화보단 OST의 존재감이 없지만 스토리랑 영상미는 다른 영화보다 뛰어난 거 같아요."
"1229","그랜드파더","10","""청춘""과 ""사랑""이라는 추상적 느낌을 스크린에 녹여버렸다 왕가위 X된다...."
"1230","미나리","10","너무나도 평범해서 아름답다"
"1231","미나리","10","좋아요 추천합니다 원더풀 미나리"
"1232","미나리","6","너무기대를해서 긍가 그냥그럼...좀 지루하고.."
"1233","미나리","10","진짜 나름 재밌게 봤어요 부정적인요소를 어떻게든 잡을려고 한것보다 그냥 영화 그대로 보시면 재밌게 볼수있엇어요"
"1234","극장판 귀멸의 칼날: 무한열차편","10","신선하고 위트있고 진한 여운. 믿고 보는 자파르 파니히 감독!"
"1235","PMC: 더 벙커","3","라푼젤에서 겨울왕국까지 반등세를 타던 2010년대의 디즈니는 2020년대 들어 다시 00년대처럼 옛 관습에 안주하다 도로 기우는 패턴을 반복하고 마는건가... 주먹왕 랄프에서처럼 새 피를 수혈해 기존의 묵은 관습들을 다부셔 다고쳐해 중흥하던 10여년 전 패기가 그립다. 뮬란 실사판의 혹평 세례에도 아직 정신 못 차린 듯."
"1236","미나리","10","아이들이 이렇게 섬세하게 연기를 했다는것에 놀랐다. 그시절 나와 마주하게되어 눈물이 안날수가 없었다. 관계에 있어 성장의 아픔은 크기만하구나."
"1237","극장판 귀멸의 칼날: 무한열차편","10","시대에 잘못태어난 작품이라는말이 맞음 ... 진짜 개띵작..ㅠㅠ"
"1238","세자매","6","잘 나가다가 어수선해지고 어이없이 해결되는"
"1239","그랜드파더","8","숨이 차오를 수록, 불이 타오를 수록, 심장은, 가족은 더욱 단단해진다."
"1240","미나리","10",""
"1241","미나리","10","이제훈 연기 잘하고 신선했음"
"1242","미나리","10","지금봐도 감동두 여배우가 자살해 그게 안타갑다"
"1243","미나리","10",""
"1244","극장판 귀멸의 칼날: 무한열차편","2","깊이가 전혀없어요 영상미 연기력과 상황연출이 다할뿐 잔잔할려고하다 상황이 갑자기 급박해지고 뭉클함도 억지스런 설정으로 해쳐지고 그냥 여러 메세지는 알겠으나 그걸 너무 다 담아낼려고 했던거같아서 그냥 데이비드가 귀엽다 끝 차라리 ㅈㅇㄹ 영화가 더 뭉클했던거같아요"
"1245","PMC: 더 벙커","10","이렇게 재밌는건 태어나서 처음으로~"
"1246","미나리","10","음향과 영화에 나오는 장소, 동선들을 보면 저예산 영화인것 같다. 그것을 감안하고 본다면 가볍게 웃음 포인트도 있고 재밌게 볼 수 있다. 20대 30대를 지나 살아온 나로써는 '응 아무일도 없어. 30이 된다고 특별히 어른이 되는 것도 더 나아지는 것도 없어. 그냥 똑같이 흘러가는거야. 특별히 9수라서가 아니야.'라고 계속 말해주고 싶었다. 하지만 나도 나이 서른되면 이룬것도 많고 모 대단한 위치에 있을줄 알았는데 그러지 못한 불안감에 쌓인적이 있어 공감되면서 가볍게 영화에 동화가 되었다. 고구마100개 먹은듯한 답답함이 있는 남주의 '좋은일이 있을거예요' 가 볼때는 답답했는데 영화 끝나고 제일 생각이 많이 나는 그래서 무한반복 나조차도 입에서 맴도는 말이 되었다. ㅋㅋㅋ이 영화를 보면서 너무 깊게 생각치말고 가볍게 나의 20대를 생각해 보면서 잠시 추억에 잠기는 시간을 갖는것도 좋겠다. 제일 답답했던 그 대사 나도 해 본다. '좋은일이 생길 거예요.' ㅋㅋㅋ 중독성 있네...ㅋㅋ"
"1247","극장판 귀멸의 칼날: 무한열차편","9","여주인공 연기력이 좋구먼 그래..."
"1248","세자매","10","보는 내내 아름다운 명화를 감상하는 듯한 느낌을 주는 영화"
"1249","그랜드파더","10",""
"1250","미나리","9","누구나 다 하나쯤은 아픔과 고민이 있지... 그냥 우리들의 사람 사는 이야기...배우들의 연기가 너무 좋아서 몰입하면서 보게된 영화.."
"1251","미나리","10",""
"1252","미나리","6","골든 글로브 상 받았는데 저는 덤덤하네요. 아이들 연기가 일품!"
"1253","미나리","10","우한 바이러스의 공포도 1년이 넘어. 친구 왈 자기 몸에 항체가 가득하다더군요.. 내가 어찌 가능하냐고 물으니.. <클레멘타인>을 보고 흘린 눈물을 마시고 아빠!일어나!를 하루 108번 외치면 된다더군요.."
"1254","극장판 귀멸의 칼날: 무한열차편","10","이병헌 연기가 미쳤다 젊은날 사랑의추억 슬픈소낙비같은 영화♡♡♡"
"1255","PMC: 더 벙커","9","이야기가 비현실적일 수 밖에 없는 내용이었지만, 귀여운 그림체와 삶을 다시 생각해보게 되는 영화였습니다"
"1256","미나리","10","2기나오기전에 꼭 봐야하는 영화"
"1257","극장판 귀멸의 칼날: 무한열차편","10","그때도 좋았는데 왜 이걸 평점을 안올렸을까? 이건 필히 관람하는것이 좋다.데니보일/ 이완맥그리거의 초기작품으로 풋풋하면서 끝내준다."
"1258","세자매","5","삼겹살에는 미나리가 최고~"
"1259","그랜드파더","10","적나라한 차가운 아늑함,"
"1260","미나리","9","시대를 앞서간 명작. 시간이 지나도 가치는 변하지않는다."
"1261","미나리","10","라야와 마지막 드래곤 영광의 첫번째 감상평이네요~라야가 아주 귀여웠어요!!!"
"1262","미나리","10",""
"1263","미나리","1","신승호 배우님 작품들 연기 정말 잘하시던데 상대 여배우가 영화에 똥칠을 했네요 작품은 괜찮은거 같은데 제가 보기에는 땅콩 갑질보다 더한거 같은데 팬덤? 비판하는 사람들을 열폭이라고 하는게 땅콩항공 박창진 사무장님 조롱하던 직원들 같네요 사람은 똑같나봐요 10대때부터 그런 마인드로 살고 있는 사람들이라니 기가 막히네요"
"1264","극장판 귀멸의 칼날: 무한열차편","5","솔직히 모든 면에서 아마추어 영화였습니다. 한국인을 다뤘다고 국뽕 맞는 시대는 지나갔지요. 눈치나 보는 평론가들의 위선적인 평이 참 한심합니다."
"1265","PMC: 더 벙커","6","스토리 부재,미스 캐스팅,억지로 이야기 만들기 ,쎄OO의 음악을 사랑하는 사람으로서 비추"
"1266","미나리","10","지금 봐도 세련된 느낌. 재밌어요."
"1267","극장판 귀멸의 칼날: 무한열차편","1","와이프랑 애기는 무슨 죄인지? 첫사랑으로 모든 걸 다 포장하고 퉁치려 하네"
"1268","세자매","9","기대했던 영화의 느낌은 아니였으나 톰 홀랜드 데이지 리들리 매즈 미켈슨 연기 보는 것이 너무 좋았습니다."
"1269","그랜드파더","9","'다사다난'할지라도 '사필귀정'이라는 것을 느끼게 해준 영화  현실적이기에 코끝이 찡했던 영화"
"1270","미나리","10","아이린 이쁘다ㅋㅋㅋㅋ"
"1271","미나리","10","아이린 이쁘다ㅋㅋㅋㅋ"
"1272","미나리","10","넘 잼있음..오랜만에 크게 웃으면서 영화 봤음..집에와서 생각해도 너무 웃김"
"1273","미나리","10","진짜 이 영화만큼 나를 애니보면서 울게만드는 건 없을 것 같아요 진짜 엄청 울고 많이 웃었습니다 점점 더 귀칼이라는 애니에 기대하고 있어요 진짜"
"1274","극장판 귀멸의 칼날: 무한열차편","10","스크린 속 광활하게 펼쳐지는 모든 장면들이 애잔하고 깊숙하게 들어온다. 밤하늘에 빛나는 나만의 별을 찾고 싶은 영화"
"1275","PMC: 더 벙커","10","김혜수님~~너무 이쁘고 연기도 너무 잘해요 집중해서 보게 되네요"
"1276","미나리","7","시리즈의 마무리로서 여운이 남는다. 다만 리부트 때문에 그 여운이 퇴색한 감이 있다."
"1277","극장판 귀멸의 칼날: 무한열차편","2","타인 의존증 있는 여자가, 타인의 사랑만 갈구하다 나락 가버리는 이야기.자신의 삶의 목적을 타인에 초점 맞추지 말고, ‘나 자신’을 위한 삶을 살았으면 인생이 더 나아졌을것이다. 타인의 사랑이 주가 되어버린 삶은 얼마나 한심한가.이런 멍청한 여자한테 공감을 해 줄 필요성이 안느껴진다"
"1278","세자매","10","영화 포스터에 나와 있듯이 3.1만세에 나와 있듯이 3.1만세운동에 대해서 우리가 몰랐던 이야기를 실제 그 당시에서 보는 느낌이 들 정도로 현실감과 아픔이 많이 느껴진 영화였다."
"1279","그랜드파더","8","모든 국가는 국민의 목숨으로 유지된다."
"1280","미나리","10","배우분들 연기가 좋습니다 특히 주인공분의 그 연기요 ㅎㅎ 독립영화도 영화관에서 많이 상영해주면 좋겠네요"
"1281","미나리","10","이렇게 대사 거의 없이 감동 받기는 첨인듯ㅜㅠ 아버지와 아들의 마음이 고스란히 느껴짐 강추b"
"1282","미나리","10",""
"1283","미나리","10","역주행 입소문 개쩌네~^^!!"
"1284","극장판 귀멸의 칼날: 무한열차편","10","밀정도 밀정이지만 우리 한국 독립군도 끝까지 간다!!그리고 중간에 나오는 클래식과 연출의 조화도 좋았음."
"1285","PMC: 더 벙커","10","수지나와서 만점줍니다"
"1286","미나리","1","수고하셨습니다"
"1287","극장판 귀멸의 칼날: 무한열차편","8",""
"1288","세자매","10","재미있고 스머프들이 가가멜에게 쫒기면서 하는 행동이 너무 웃깁니다. 짜릿하고 노래가 중독성이 있습니다. 아무튼 굉장히 재미있습니다."
"1289","그랜드파더","1","뭐 재미있고 없고를 떠나서 이영화를 속편까지 제작할수있게 만든 투자자들은 천사들인가..."
"1290","미나리","9","스토리의 개연성은 부족하지만 아무 생각 없이 웃으며 보기 좋은 영화네요"
"1291","미나리","8","중반까지 이게 대체 뭔소린가 강의 받고 후반부에 이런거구나 감동받고"
"1292","미나리","6","스토리 개연성이 잘 짜여졌다고 보기는 어려우나 잔잔하게 보기 좋았습니다. 윤여정 선생님, 데이빗이야 뭐 많은 사람들이 귀엽다고 하니까 앤 역할한 딸도 잘했어요"
"1293","미나리","10",""
"1294","극장판 귀멸의 칼날: 무한열차편","10","제작진도 훌륭하고, 먼리건 언니 너무 좋아 연기 ㅋㅋㅋㅋ킬링이브 제작진"
"1295","PMC: 더 벙커","1","Tv로 보다가 주,조연들 다 오버 연기 쩔고 비행기 납치 할때부터 짜증나서 그냥 꺼버림; 오글거리고 유치해서 못보겠더라 최악"
"1296","미나리","10","2번 봤는데 2번 울었어요"
"1297","극장판 귀멸의 칼날: 무한열차편","10","마음 편하게 볼 수 있어 좋았어요. 로버트 드니로 연기도 매우 좋았구요. 잔잔하고 따뜻한 영화입니다. 사랑하는 사람들과 함께 다시 보고 싶어요."
"1298","세자매","10","보는내내 우리 할머니 생각이 계속 났습니다 잔잔하고 먹먹하게. 이번 할머니 생신때는 사진이든 영상이든 많이 남겨보려합니다"
"1299","그랜드파더","10","얼마전 가장이 된 내가  본 영화 중 가장 공포스러운 스토리... 정말 오랜만에 가져본 최고의 두시간이었다."
"1300","미나리","8","할매들 털어먹는 악녀들. .우리나라 모 여성단체 생각나네. ."
"1301","미나리","10","윤여정배우, 한예리배우의 연기는 원래 좋은건 알았지만 스티븐연 연기 진짜 좋았음. 진짜 한국의 옛날 아버지 느낌 이였고 한국어 진짜 완벽하게 해서 놀랐음. 데이비사~~너무귀엽다ㅠㅠ"
"1302","미나리","10","안 봤으면 큰일날뻔했다 너무 감동적이고 재밌다"
"1303","미나리","10","누군가의 어린 시절을 담은 일기장을 본거 같았다 개연성이나 마무리가 조금 어색하다고 느껴질 수 있는데 그런 다듬어지지 않은 부분이 오히려 생동감 있게 표현이 된 것 같다. 살아있는 기억을 보여주는 영화전체적인 그림도 너무 예뻤고, 소리도 너무 아름다웠던 영화다 그리고 배우들의 섬세한 표현력에 박수를...마지막 엔딩 크레딧에서 배우 한예리님의 노래가 잔잔하게 울려 퍼지는데, 그걸 다 듣고 나오면서 이 영화 참 괜찮다 보길 잘했다는 생각이 들었다"
"1304","극장판 귀멸의 칼날: 무한열차편","2","출연진 모두 이젠 생활이 궁핍한가 보다."
"1305","PMC: 더 벙커","8","액션영화로는 이정도면 괜찬은데?이퀄리브리엄 스타일의 영화"
"1306","미나리","8","발암 영화임. 배우 얼굴 캐스팅도 기똥차게 해놔서 뒤통수 치고싶은 마음이 두배로 커짐. 감독이 작정하고 관객들 짜증나게 하려고 뒤로 갈수록 느린 컷들만 보여줌. 두번 볼생각도, 남에게 추천하고 싶은 마음도 없는 영화. 하지만 굉장히 잘 만든 영화. 사이비에 빠진 놈들은 봐도 좋음."
"1307","극장판 귀멸의 칼날: 무한열차편","10","왜 내가 이런엄청난걸 이제봤나싶다ㅠ 또볼거야 계속볼거야진짜.."
"1308","세자매","10","윤여정배우님의 마지막 눈빛 하나만으로도 왜 여우조연상을 받는지 알수 있습니다 영화는 미나리처럼 특별함이 없지만 모두가 공감할수 있는 가족애 등의 정서로 마지막까지 이어집니다"
"1309","그랜드파더","1","상대적이다...뭐가 서구문화에 호기심을 자극했는가...역시 윤선생은 또 그연기...."
"1310","미나리","10","정말 재밌게 잘봤습니다. 후회 없습니다."
"1311","미나리","6","소문난 잔치에 먹을거 없다더니... 한편의 TV드라마 수준의 영화였다!. 우리나라에서 먼저 상영되었다면 히트하지 못했을 지도 모른다! 미국 영화계에 센세이션을 일으킨건 미국인의 문화적 수준이 높다는 걸 보여줬다"
"1312","미나리","10",""
"1313","미나리","9","미나리처럼 끈끈하게 살아낸 그 시절 이방인들에 대한 찬사."
"1314","극장판 귀멸의 칼날: 무한열차편","10","그냥 미안하다고 한마디만 해주셨으면.."
"1315","PMC: 더 벙커","9","바라는 행복보다 생각지못한 불행이 더 많은게 세상. 그래도 미나리처럼 묵묵히 향내롭게 살아내길."
"1316","미나리","10","고향을  떠나보지 못한 나에게 이민자의 모습 속에서  처음  낯선 곳,,( 학교,  직장)에서 적응하려 애쓰고, 힘겨울땐  기적을 바라기도 했던 일들이 떠올랐다.  제이콥이 부자가 되고, 아들의 병이 깨끗이 낫고, 가족이 금의환양하는  그런 영화가 아니라서 공감이 갔고,  덤덤한 듯한 배우들의 말과 눈빛에서 크게 웃고, 오열하는 것 보다 더큰 절망과 희망이  보였다.  마스크속으로 흐르는 눈물을 멈출 수 없었다. 누구나의 삶과 닮아 있다는 공감을 얻을 수 있었던 영화를 선택한 기적적인 날이었다."
"1317","극장판 귀멸의 칼날: 무한열차편","8","일단 영화 자체는 시청각적으로 편안하고 일상적이어서 오랜만에 차분히 즐길 수 있었습니다. 그 시대 배경, 한인의 애달픔, 척박한 땅에서 새롭게 시작하고자 하는 주인동 가족들의 애환을 제 상황에 녹여 보았을 때 감정이입하는 부분도 있었구요.윤여정 선생님이 연기하신 평범하지 않은 할머니라는 캐릭터도 신선했어요.(후반부부터는 다소 아쉬운 마무리...?) 또한, 아들 역의 앨런도 정말 귀엽고 사랑스럽더군요. 병치레 하는 자신이 가족들에게 어떠한 존재인지 그리고 그 나이에 느낄 수 있는 생활 속 감정들을 정말 잘 표현한 것 같아서 재밌었어요. 사실 굉장히 기대하고 보러 가서 그런지 ‘아주 빅!’한 감동을 느끼진 못한건 사실입니다. 그러나 이런 경우는 대부분 기대 보다 못하긴해서 이해합니다."
"1318","세자매","10","2016년 지금으로부터 5년전 극장에서만 두번봤었다,이건 뭐 지금봐도 명작으로뽑힐것이다이젠 앞으로 스타워즈를 모욕하지마라~~~진심 찐 영화였다 그느낌 그대로^^스?타?워?즈?"
"1319","그랜드파더","2","8점대는 구라 6점대로 생각하심됩니다 완전b-급 영화이나 스토리연결과 연출에 하자가 많습니다 그냥 비급영화 즐기시는분께만 킬링타임용"
"1320","미나리","4","왜 상받았는지 이해 안 간다. 그냥 아시안 프리미엄으로 상 받은 것 아닐까? 플롯도 평범하고, 결말은 어이없다. 배우들 연기만 봐 줄만 하다. 돈내고보기 아까운 영화다. 기생충의 발 끝도 못 따라간다. 차라리 버닝이 나아 보일정도다."
"1321","미나리","6","예고편에서 화재 나는걸 보여주지 않았으면 더 좋지 않았을까...이미 다 본거나 다름없는 느낌이라서요제이콥의 연기는 훌륭했습니다 영화 속에 들어 갈수 있다면 그를 안아주고 싶었으니까요"
"1322","미나리","7","페이지 연기 잘한다. 머시는 자기가 꼬셔놓고 그러는거 아니지 무튼 반성하고 루시랑 잘되길"
"1323","미나리","10","초1때 학교 도서관에서 학교 가는 토요일에  틀어줘서 보게 된 영화. 내 인생에서 처음으로 본 슬픈 영화."
"1324","극장판 귀멸의 칼날: 무한열차편","9","27년 전 이 영화 하나가 모든 한국 영화를 앞선다. <기생충>으로 국뽕에 취할 때가 아니다."
"1325","PMC: 더 벙커","5","볼만은 하나 수준 높지는 않다"
"1326","미나리","10","어떻게 이 영화를 사랑하지 않을 수 있나~"
